textid	text	condition	target
10	isn't it funny how many times we can say we drawn the line cross it out turn the page and moved on that's what we thought  but here i am in the same old car having myself another same old browneyed bar uh oh uh oh  pre i won't tell nobody i won't tell my friends we'll just drive down this road till the one we're on ends and we'll tell each other things like i need you   you and me baby this is what we do i may see there are people you just come back to so fall back on me fall back on you   you always let someone come in between your talking round the truth and never say what we mean look at all this wasted time  pre i won't tell nobody i won't tell my friends we'll just drive down this road till the one we're on ends and we'll tell each other things like i need you   you and me baby this is what we do i may see there are people you just come back to so fall back on me fall back on you   maybe we'll last maybe we won't maybe we'll stop talking and i'll haunt you like a ghost but just baby get along with me   you and me baby this is what we do i may see there are people you just come back to so fall back on me fall back on you	1	0
11	i  i used to fly didn't matter where i'd been 'cause i'd seen the sky i wanna tell you why but somehow i know i would break down and cry   i know you can't see me here but i am not alone i'm lying here in invisible arms and i won't be alone tonight   you you know i would die before i let them see me see me cry please don't leave tonight oh let me down slowly show me a light   i know you can't see me here but i am not alone i'm lying here in invisible arms and i won't be alone tonight   oh let me think i'm strong please don't bring me down i need you tonight   i know you can't see me here but i am not alone i'm lying here in invisible arms and i won't be alone tonight   i i used to fly didn't matter where i'd been 'cause i'd seen the sky	1	0
12	spoken  so the clip that you're about to hear is my preparation for a writing session um i was writing with two writers i hadn't ever worked with before so i wanted to come in with an idea that was pretty much all there melody and lyrics  um and so i had this idea called i forgot that you existed and i wanted it to be really simple i thought it might be a really fun way to open the album like basically kind of shrugging off a lot of things that you've been through that have been causing a lot of struggle and pain and just one day you wake up and you realize you're indifferent to whatever caused you that pain and so this is a clip of me just trying to tinker around on the piano trying to figure out what i wanted to do with it and you can hear the end result on the album but this is where it started  sung i forgot that you existed thought i'd miss you but i didn't and it was so nice  i forgot that you existed i forgot that you existed thought i'd miss you but i didn't and it was so nice  i forgot that you existed i'd miss you but i didn't and it was so nice so peaceful and  how many nights i  how you did me how many days did i wait thinking 'bout how you did me wrong wrong wrong  humming  i forgot that you existed i thought i'd miss you but i didn't and it was so nice so peaceful and quiet  i forgot that you existed	1	0
13	ive been counting days and ive been being patient about a little thing called love crossing all my fingers letting my heart linger trying to get some help from up above  pre i dont want to jinx my luck ive left it all behind me and ive been hoping every day that someday you will find me   so i cross my heart and hope for you knock on wood and rope the moon ill pray for you and me and hope im right and i wait around that old wishing well you never know if time will tell i cross my heart and hope for you tonight   dreaming of you baby ive been thinking maybe there is something i can do cause ive been on the verge of running around in circles baby all i want is you  pre i dont want to jinx my luck ive left it all behind me and ive been hoping every day that someday you will find me   so i cross my heart and hope for you knock on wood and rope the moon ill pray for you and me and hope im right and i wait around that old wishing well you never know if time will tell i cross my heart and hope for you tonight   do you believe in miracles please tell me if youve seen one id like to know just where to go because i think i need one   x so i cross my heart and hope for you knock on wood and rope the moon ill pray for you and me and hope im right and i wait around that old wishing well you never know if time will tell i cross my heart and hope for you tonight  so i cross my heart and hope for you knock on wood and rope the moon ill pray for you and me and hope im right and i wait around that old wishing well you never know if time will tell i cross my heart and hope for you tonight	1	0
14	spoken  there is some unbelievable music that has come out of artists who are from la did you know that like los angeles has put out so many bands and artists that im such a fan of and id love to play you  some music im a fan of thats come from la is that okay this one came out in 98 8 years before i was born and i love this song its called bette davis eyes   her hair is harlow gold her lips sweet surprise her hands are never cold she's got bette davis eyes  she'll turn her music on you won't have to think twice she's pure as new york snow shes  got bette davis eyes    and she'll tease you she'll unease you all the better just to please you she's precocious and she knows just what it takes to make a pro blush she got greta garbo stand off sighs she's got bette davis eyes   she'll let you take her home it whets her appetite she'll lay you on her throne shes  got bette davis eyes     she'll expose you and just knows you off your feet with the crumbs she throws you she's ferocious and she knows just what it takes to make a pro blush ayyayy all the boys think she's a spy she's got bette davis eyes	1	0
15	i dont need a lot but there is one thing love has taught me its to never expect too much dont need a believable touch i just need you i just need you and i might i found life why should we be wasting time  you dont know what you missed when i look into your eyes like this and you should be in front of me seeing everything to see looking at you check out this view  think of a quiet beach think of how the waves crash down think about a summers eve no offense to them but they ain't got nothing on you walking with you in the light or in the dark well nothing shadows who you are  and you dont know what you missed when i look into your eyes like this and you should be in front of me seeing everything to see looking at you check out this view  i look outside the window everyday see something new but all i ever wanted was a window looking at you at you  and you dont know what you missed when i look into your eyes like this and you should be in front of me seeing everything to see you dont know what you missed when i look into your eyes like this and you should be in front of me seeing everything to see looking at you check out this view	1	0
16	days go by i wonder if you hear me can't you read between the lines now i'm standing still i am disappearing take this chance i'll make you mine  pre don't you wonder why you change in time makes you feel so empty inside   but love's got me cornered in the back of the room i'm spinning around i'm spinning around and all i see is someone i don't know love's got me tangled tired me too no sign of a wall sign of wall spinning me around and baby all i see is you   he tells lies are you really thinking that you deserve another try when you see these eyes you see another planet don't ask how but fate decides  pre don't you wonder why you change in time makes you feel so empty inside   but love's got me cornered in the back of the room i'm spinning around i'm spinning around and all i see is someone i don't know love's got me tangled tired me too no sign of a wall sign of wall spinning me around and baby all i see is you   spinning and turning and living and learning i should be able to handle this make it or break it move it or shake it do it or fake it girl you've got to make it   but love's got me cornered in the back of the room i'm spinning around i'm spinning around and all i see is someone i don't know love's got me tangled tired me too no sign of a wall sign of wall spinning me around and baby all i see is you   spinning me around and baby all i see is you  spinning me around and all i see is you	1	0
17	hook nelly and taylor swift i was thinking 'bout her thinking 'bout me thinking 'bout us what we gon' be open my eyes it was only just a dream so i travelled back down that road will she come back no one knows i realize it was only just a dream   nelly i was at the top and now it's like i'm in the basement number one spot and now she find her a replacement i swear now i can't take it knowing somebody's got my baby and now you ain't around baby i can't think i should've put it down should've got the ring 'cause i can still feel it in the air see her pretty face run my fingers through her hair  prehook nelly and taylor swift my lover my life my shawty my wife she left me i'm tied 'cause i knew that it just ain't right  hook nelly and taylor swift i was thinking 'bout her thinking 'bout me thinking 'bout us what we gon' be open my eyes it was only just a dream so i travelled back down that road will she come back no one knows i realize it was only just a dream   taylor swift when i be ridin' man i swear i see her face at every turn tryna get my usher over i can't let it burn and i just hope she know that she's the only one i yearn for more and more i miss her when will i learn didn't give her all my love i guess now i got my payback now i'm in the club thinking all about my baby hey she was so easy to love but wait i guess that love wasn't enough i'm going through it every time that i'm alone and now i'm missing wishing she'd pick up the phone but she made the decision that she wanted to move on 'cause i was wrong  hook nelly and taylor swift i was thinking 'bout her thinking 'bout me thinking 'bout us what we gon' be open my eyes it was only just a dream so i travelled back down that road will she come back no one knows i realize it was only just a dream   nelly if you ever loved somebody put your hands up if you ever loved somebody put your hands up and now they're gone and you're wishing you could give them everything said if you ever loved somebody put your hands up if you ever loved somebody put your hands up now they're gone and you're wishing you could give them everything  hook nelly and taylor swift i was thinking 'bout her thinking 'bout me thinking 'bout us what we gon' be open my eyes it was only just a dream so i travelled back down that road will she come back no one knows i realize it was only just a dream  hook nelly and taylor swift i was thinking 'bout her thinking 'bout me thinking 'bout us what we gon' be open my eyes it was only just a dream so i travelled back down that road will she come back no one knows i realize it was only just a dream	1	0
18	i'm like the water when your ship rolled in that night rough on the surface but you cut through like a knife and if it was an openshut case i never would've known from that look on your face lost in your current like a priceless wine   the more that you say the less i know wherever you stray i follow i'm begging for you to take my hand wreck my plans that's my man   life was a willow and it bent right to your wind head on the pillow i could feel you sneakin' in as if you were a mythical thing like you were a trophy or a champion ring but there was one prize i'd cheat to win   the more that you say the less i know wherever you stray i follow i'm begging for you to take my hand wreck my plans that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans that's my man   life was a willow and it bent right to your wind they count me out time and time again life was a willow and it bent right to your wind but i come back stronger than a '90s trend   wait for the signal and i'll meet you after dark show me the places where the others gave you scars now this is an openshut case i guess i should'a known from the look on your face every baitandswitch was a work of art   the more that you say the less i know wherever you stray i follow i'm begging for you to take my hand wreck my plans that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans that's my man the more that you say the less i know wherever you stray i follow i'm begging for you to take my hand wreck my plans that's my man you know that my train could take you home anywhere else is hollow i'm begging for you to take my hand wreck my plans that's my man   hey that's my man that's my man yeah that's my man baby every baitandswitch was a work of art that's my man hey that's my man i'm begging for you to take my hand wreck my plans that's my man	1	0
19	here in my mind the sky looks the same on every day you loved me when we started home it started to rain you put your coat around me we stood there in the road you held me so close but did you ever let go   down came the rain lightning and thunder we tried in vain to hold on to each other winds of change blew you away from me right here right now i feel it on my skin the bitter sting of what we couldve been just when our love was like a burning flame down came the rain   in through the window i see her with you im soaked to the skin youre warm and dry i guess the storm is over for you but look at the tears here in my eyes i just stood there like a ghost as you held her so close and as i let you go   down came the rain lightning and thunder we tried in vain to hold on to each other winds of change blew you away from me love like this changes who you are every kiss you gave me is a scar just when our love was like a burning flame down came the rain   all i need is to move on fast but all i want is to have you back and it just keeps falling   down came the rain lightning and thunder we tried in vain to hold on to each other winds of change blew you away from me right here right now i feel it on my skin the bitter sting of what we couldve been just when our love was like a burning flame down came the rain  down came the rain	1	0
20	oh we were standing in an empty room the moonlight was falling you were holding my hand when the car pulled up for you and i could have spent a life with you but those days are over you were calling my name when your face faded from view  pre wasn't it you that told me the sun would always chase the day wasn't it you that told me   angels fly in the air tonight saying wasn't it just like swimming out on the lake stars collide in the air so light or was it just like those promises that you made on our last night   oh i remember waking up with you the days doing nothing you meant more to me then than you ever knew you were going to be a doctor a movie star poet at a nobel seminar hope the the world never tore that out of you  pre     tell me whatever happened to the things you loved and the songs we played and the indian days whatever happened to the things you gave away like harold and martin singing  i was waving as you drove away the sunlight was falling you were riding backwards in a dusty window pane   angels fly in the air tonight was it just like the promises that we made and stars collide in the air so light was it just like those promises that you made on our last night on our last night oh oh oh whoa whoa yeah oh	1	0
21	i said i know he said need some time need some space to think about all of this i watched him go he watched me crushed to the floor on my knees just like that he said when can i come back   i said that's when i wake up in the morning that's when after sun is always storming laughing when i'm crying that's when i'll be waiting at the front gate that's when never see your face i let you in baby that's when   i said i know he said i did you wrong made mistakes put you through all of this 'cause i let you go you let me think that i'll be fine without you imagine that so baby i'll come back   i said that's when i wake up in the morning that's when after sun is always storming laughing when i'm crying that's when i'll be waiting at the front gate that's when never see your face i let you in baby that's when   and i said all this playing did you ever think of me and he said   i said that's when i wake up in the morning that's when after sun is always storming laughing when i'm crying that's when i'll be waiting at the front gate that's when never see your face i let you in baby that's when   i said i know he said i need some time need some space	1	0
22	if i could be sweet i would but first of all let me say i must apologize for acting stank and treating you this way cause i've been acting like sour milk all on the floor its your fault you didn't shut the refrigerator maybe that's the reason i've been acting so cold   if i could escape and recreate a place that's my own world and i could be your favorite girl forever perfectly together now tell me boy now wouldn't that be sweet if i could be sweet sorry but i know i've been a real bad girl i didn't mean for you to get hurt whatsoever we can make it better now tell me boy now wouldn't that be sweet sweet escape sweet escape   you let me drown i'm at my lowest boiling point come help me out i need to get me out of this joint come on let's bounce counting on you to turn me around instead of clowning around let's look for some common ground oh baby times been getting a little crazy i've been getting a little lazy waiting for you to come save me i can see that you're angry by the way that you treat me hopefully you don't leave me wanna take you with me   if i could escape and recreate a place that's my own world and i could be your favorite girl forever perfectly together now tell me boy now wouldn't that be sweet if i could be sweet sorry but i know i've been a real bad girl i didn't mean for you to get hurt whatsoever we can make it better now tell me boy now wouldn't that be sweet sweet escape sweet escape	1	0
23	am i more than you bargained for yet i've been dying to tell you anything you want to hear 'cause that's just who i am this week lie in the grass next to the mausoleum i'm just a notch in your bedpost but you're just a line in a song drop a heart break a name we're always sleeping in and sleeping for the wrong team   we're going down down in an earlier round and sugar we're going down swinging i'll be your number one with a bullet a loaded god complex cock it and pull it we're going down down in an earlier round and sugar we're going down swinging i'll be your number one with a bullet a loaded god complex cock it and pull it  fall out boy's from chicago   is this more than you bargained for yet oh don't mind me i'm watching you here from the closet wishing to be the friction in your jeans isn't it messed up how i'm just dying to be him i'm just a notch in your bedpost but you're just a line in a song drop a heart break a name we're always sleeping in and sleeping for the wrong team   we're going down down in an earlier round and sugar we're going down swinging i'll be your number one with a bullet a loaded god complex cock it and pull it we're going down down in an earlier round and sugar we're going down swinging i'll be your number one with a bullet a loaded god complex cock it and pull it	1	0
24	your feet under the table i love it when they're touching mine your hands make the crisps at the cradle to tell me everything is fine all i see is you looking at me   do you know when you go you make the sweetest sight at the window if you had never come out of the blue i would have stayed up and made up you   you smile just like a picture it doesn't even need a frame sometimes i wait to answer just to hear you say my name and all i want is just what i've got   do you know when you go you make the sweetest sight at the window if you had never come out of the blue i would have stayed up and made up you   i'd never let you go even if i could cause i never could've dreamed you up this good   do you know when you go you make the sweetest sight at the window if you had never come out of the blue i would have stayed up and made up you   made up you oh oh made up you	1	0
25	standing on the border looking out into the great unknown i can feel my heart beating faster as i step out on my own there's a new horizon and the promise of favorable wind i'm heading out tonight traveling light i'm gonna start all over again   and buy a oneway ticket on a west bound train see how far i can go 'cause i'm gonna go out dancing in the pouring rain and talk to someone i don't know i will face the world around me knowing that i'm strong enough to let you go and i will fall in love again because i can   gonna climb the mountain and look the eagle in the eye i won't let fear clip my wings and tell me how high i can fly how could i have ever believed that love had to be so blind when freedom was waiting down at the station all i had to do was make up my mind     well i have walked through the fire and crawled on my knees through the valley of the shadow of doubt then the truth came shining like a light on me and now i can see my way out   buy a oneway ticket on a west bound train see how far i can go 'cause i'm gonna go out dancing in the pouring rain and talk to someone i don't know  buy a oneway ticket on a west bound train i'm gonna have my breakfast with some pink champagne gonna sail the ocean gonna spread my wings gonna climb that mountain gonna do everything	1	0
26	fearless tour  fearless tour setlist  fearless tour costumes  you're not sorrywhat goes aroundcomes around  speak now tour  speak now tour setlist  speak now tour costumes  back to decemberapologizeyou're not sorry  drops of jupiter cover  bette davis eyes cover  red tour  red tour setlist  red tour costumes  stay stay stayho hey  989 tour  989 tour setlist  989 tour special guests  wildest dreamsenchanted  formula one grand prix  formula one setlist	1	0
27	he's got a nice little life he's gonna live it but on friday nights he plays that mandolin painted red and he said it's not the best i know but it's mine i'm gonna make it mine people there can't help but care about the friendly music of a guy who's getting by from their applause he's got a song that moves along he's got his local crowd tonight at angelina's family bar and grill   he's got his heart on his sleeve the songs he plays just living free but who knows what goes through his mind when he plays a song it brings along everybody saying who's that guy who plays the mandolin mandolin oh yeah mandolin   got a car got a scar like everyone he's got a few but everybody loves that mandolin got his problems bills to pay somehow that boy finds a way through paychecks in tip jars yeah   he's got his heart on his sleeve the songs he plays just living free but who knows what goes through his mind when he plays a song it brings along everybody saying who's that guy who plays the mandolin mandolin oh yeah mandolin   oh he's the kind of guy who never really wanted fame his feet are planted firmly on the ground he never wanted people to remember his name he never wanted word to get around that he found heaven on earth   he's got his heart on his sleeve the songs he plays just living free but who knows what goes through his mind when he plays a song it brings along everybody saying who's that guy who plays the mandolin oh i'm the guy who plays the mandolin mandolin oh mandolin	1	0
28	walked into a chair leg as i was thinking' bout' you your face jumped right in my way as things lately do oh baby can't you see the thought of you makes a mess of me walked into a chair leg as i was thinking' bout' you   and now i can't walk straight can't talk straight can't think about anything but the way it should be it could be and till you come 'round again i'll be doin' what i usually do thinkin' 'bout you  oh ah   i get lost when i drive around town thinkin' 'bout your smile always ending' up your side of town and i don't know why must be somethin' under this hood nobody's strong like you walked into a chair leg as i was thinking' bout' you   can't walk straight can't talk straight can't think about anything but the way it should be it could be and till you come 'round again i'll be doin' what i usually do thinkin' 'bout you   your eyes are the color of the great big sea the one i go swimmin' in every time you look at me   can't walk straight can't talk straight can't think about anything but the way it should be it could be and till you come 'round again i'll be doin' what i usually do thinkin' 'bout you   walked into a chair leg as i was thinking' bout' you	1	0
29	i think you fell off of your cloud today you didn't see it coming or did you you tried to please everybody but the sweet breeze swept you away  pre the sun goes down on a good day tomorrow is still an unknown you think you're all alone in this place i think you're crazy 'cause i still love you baby   oh don't fade away baby blowing in the wind is getting harder to do don't count the days as they leave you count them as you find a day new don't fade away never fade   hard to breathe nobody knows it's you somebody blows your candle out you wore a mask now that's broken too everybody else was everything to you  pre the sun goes down on a good day tomorrow is still an unknown you think everybody wants a fight i think you're crazy 'cause i still love you baby   oh don't fade away baby blowing in the wind is getting harder to do don't count the days as they leave you count them as you find a day new don't fade away never fade   i think you fell out of the sky today i think you know it's true you've seen the world now all you see is me tell me now baby what are you gonna do   oh don't fade away baby blowing in the wind is getting harder to do don't count the days as they leave you count them as you find a day new don't fade away don't fade away don't fade away never fade	1	0
30	bad days tell me i'll   look so sad you feel   know you thought you had it i know all about that you had planned out saw the  you i'm a dreamer too lost the  but i'll be right  and i'll take care of you  if you get knocked off your feet i'll try to see it coming i'll get a symphony to play that song  love pick you up take your hand stop your crying there's no chance you won't make it through i'm looking out for you  beneath those scared eyes there's something wonderful that you don't know you have i know you're scared but i'd pass up a miracle just to hear you laugh  if you get tired of me i'll pretend to let you go if you need room to breathe step back and watch you go  sweet child you've seen better days but you know it's gonna be okay show me that smile you got from your father it's gonna be fine just because you got my love you got my love	1	0
31	yo look if you had one shot or one opportunity to seize everything you ever wanted in one moment would you capture it or just let it slip yo his palms are sweaty knees weak arms are heavy there's vomit on his sweater already mom's spaghetti he's nervous but on the surface he looks calm and ready to drop bombs but he keeps on forgetting what he wrote down the whole crowd goes so loud he opens his mouth but the words won't come out he's choking how everybody's joking now the clock's run out time's up overblaow  you better lose yourself in the music the moment you own it you better never let it go you only get one shot do not miss your chance to blow this opportunity comes once in a lifetime yo you better lose yourself in the music the moment you own it you better never let it go you only get one shot do not miss your chance to blow this opportunity comes once in a lifetime yo  you make me smile like the sun fall outta bed sing like a bird dizzy in my head spin like a record crazy on a sunday night you make me dance like a fool forget how to breathe shine like gold buzz like a bee just the thought of you can drive me wild oh you make me smile	1	0
